STATION,NAME,DATE,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TmeanC
USW00013722,"RALEIGH AIRPORT, NC US",1/28/2014,0.18,,1.2,0,31,33,18,-0.555555556
USW00013722,"RALEIGH AIRPORT, NC US",1/29/2014,0,,0.2,1.2,21,27,14,-6.111111111
USW00013722,"RALEIGH AIRPORT, NC US",1/30/2014,0,,0,1.2,21,38,7,-6.111111111
USW00013722,"RALEIGH AIRPORT, NC US",1/31/2014,0,,0,0,29,53,15,-1.666666667
USW00013722,"RALEIGH AIRPORT, NC US",2/1/2014,0,,0,0,39,59,24,3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",2/2/2014,0,,0,0,49,64,41,9.444444444
USW00013722,"RALEIGH AIRPORT, NC US",2/3/2014,0.18,,0,0,54,64,40,12.22222222
USW00013722,"RALEIGH AIRPORT, NC US",2/4/2014,0.48,,0,0,39,40,38,3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",2/5/2014,0.06,,0,0,41,53,38,5
USW00013722,"RALEIGH AIRPORT, NC US",2/6/2014,0,,0,0,39,42,31,3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",2/7/2014,0,,0,0,40,52,35,4.444444444
USW00013722,"RALEIGH AIRPORT, NC US",2/8/2014,0,,0,0,40,50,34,4.444444444
USW00013722,"RALEIGH AIRPORT, NC US",2/9/2014,0,,0,0,39,55,29,3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",2/10/2014,0.08,,0,0,40,43,35,4.444444444
USW00013722,"RALEIGH AIRPORT, NC US",2/11/2014,0,,0,0,33,35,25,0.555555556
USW00013722,"RALEIGH AIRPORT, NC US",2/12/2014,0.64,,3.3,0,26,30,23,-3.333333333
USW00013722,"RALEIGH AIRPORT, NC US",2/13/2014,0.39,,0.4,1.2,31,36,30,-0.555555556
USW00013722,"RALEIGH AIRPORT, NC US",2/14/2014,0,,0,1.2,39,56,27,3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",2/15/2014,0.27,,0,0,42,45,32,5.555555556
USW00013722,"RALEIGH AIRPORT, NC US",2/16/2014,0,,0,0,38,53,29,3.333333333
USW00013722,"RALEIGH AIRPORT, NC US",2/17/2014,0,,0,0,37,45,28,2.777777778
USW00013722,"RALEIGH AIRPORT, NC US",2/18/2014,0,,0,0,46,65,35,7.777777778
USW00013722,"RALEIGH AIRPORT, NC US",2/19/2014,0.5,,0,0,56,72,49,13.33333333
USW00013722,"RALEIGH AIRPORT, NC US",2/20/2014,0,,0,0,59,72,52,15
USW00013722,"RALEIGH AIRPORT, NC US",2/21/2014,0.4,,0,0,65,73,41,18.33333333
USW00013722,"RALEIGH AIRPORT, NC US",2/22/2014,0,,0,0,48,64,36,8.888888889
USW00013722,"RALEIGH AIRPORT, NC US",2/23/2014,0,,0,0,51,67,34,10.55555556
USW00013722,"RALEIGH AIRPORT, NC US",2/24/2014,0,,0,0,52,60,38,11.11111111
USW00013722,"RALEIGH AIRPORT, NC US",2/25/2014,0,,0,0,43,53,29,6.111111111
USW00013722,"RALEIGH AIRPORT, NC US",2/26/2014,0,,0,0,40,49,32,4.444444444
USW00013722,"RALEIGH AIRPORT, NC US",2/27/2014,0,,0,0,38,55,24,3.333333333
USW00013722,"RALEIGH AIRPORT, NC US",2/28/2014,0,,0,0,36,45,26,2.222222222
USW00013722,"RALEIGH AIRPORT, NC US",3/1/2014,0,,0,0,38,55,28,3.333333333
USW00013722,"RALEIGH AIRPORT, NC US",3/2/2014,0,,0,0,49,71,34,9.444444444
USW00013722,"RALEIGH AIRPORT, NC US",3/3/2014,0.36,,0.2,0,48,61,20,8.888888889
USW00013722,"RALEIGH AIRPORT, NC US",3/4/2014,0,,0,0,25,38,16,-3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",3/5/2014,0,,0,0,35,44,30,1.666666667
USW00013722,"RALEIGH AIRPORT, NC US",3/6/2014,0.55,,0,0,35,42,30,1.666666667
USW00013722,"RALEIGH AIRPORT, NC US",3/7/2014,1.72,,0,0,34,36,33,1.111111111
USW00013722,"RALEIGH AIRPORT, NC US",3/8/2014,0,,0,0,44,68,27,6.666666667
USW00013722,"RALEIGH AIRPORT, NC US",3/9/2014,0,,0,0,54,66,39,12.22222222
USW00013722,"RALEIGH AIRPORT, NC US",3/10/2014,0,,0,0,52,74,34,11.11111111
USW00013722,"RALEIGH AIRPORT, NC US",3/11/2014,0,,0,0,61,79,44,16.11111111
USW00013722,"RALEIGH AIRPORT, NC US",3/12/2014,0.35,,0,0,63,70,42,17.22222222
USW00013722,"RALEIGH AIRPORT, NC US",3/13/2014,0,,0,0,41,45,29,5
USW00013722,"RALEIGH AIRPORT, NC US",3/14/2014,0,,0,0,40,60,24,4.444444444
USW00013722,"RALEIGH AIRPORT, NC US",3/15/2014,0,,0,0,58,72,46,14.44444444
USW00013722,"RALEIGH AIRPORT, NC US",3/16/2014,0.29,,0,0,51,56,36,10.55555556
USW00013722,"RALEIGH AIRPORT, NC US",3/17/2014,0.46,,0,0,35,36,31,1.666666667
USW00013722,"RALEIGH AIRPORT, NC US",3/18/2014,0.09,,0,0,33,37,30,0.555555556
USW00013722,"RALEIGH AIRPORT, NC US",3/19/2014,0.04,,0,0,39,47,35,3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",3/20/2014,0,,0,0,51,66,39,10.55555556
USW00013722,"RALEIGH AIRPORT, NC US",3/21/2014,0,,0,0,51,69,32,10.55555556
USW00013722,"RALEIGH AIRPORT, NC US",3/22/2014,0,,0,0,60,76,46,15.55555556
USW00013722,"RALEIGH AIRPORT, NC US",3/23/2014,0.14,,0,0,51,57,36,10.55555556
USW00013722,"RALEIGH AIRPORT, NC US",3/24/2014,0,,0,0,39,50,30,3.888888889
USW00013722,"RALEIGH AIRPORT, NC US",3/25/2014,0.03,,0,0,40,45,33,4.444444444
USW00013722,"RALEIGH AIRPORT, NC US",3/26/2014,0,,0,0,37,47,29,2.777777778
USW00013722,"RALEIGH AIRPORT, NC US",3/27/2014,0,,0,0,40,59,24,4.444444444
USW00013722,"RALEIGH AIRPORT, NC US",3/28/2014,0.31,,0,0,55,69,44,12.77777778
USW00013722,"RALEIGH AIRPORT, NC US",3/29/2014,0.49,,0,0,61,66,56,16.11111111
USW00013722,"RALEIGH AIRPORT, NC US",3/30/2014,0.23,,0,0,51,62,42,10.55555556
USW00013722,"RALEIGH AIRPORT, NC US",3/31/2014,0,,0,0,53,72,36,11.66666667
USW00013722,"RALEIGH AIRPORT, NC US",4/1/2014,0,,0,0,59,80,39,15
USW00013722,"RALEIGH AIRPORT, NC US",4/2/2014,0,,0,0,69,86,52,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",4/3/2014,0,,0,0,65,78,50,18.33333333
USW00013722,"RALEIGH AIRPORT, NC US",4/4/2014,0,,0,0,69,82,57,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",4/5/2014,0,,0,0,67,71,53,19.44444444
USW00013722,"RALEIGH AIRPORT, NC US",4/6/2014,0,,0,0,54,60,44,12.22222222
USW00013722,"RALEIGH AIRPORT, NC US",4/7/2014,1.42,,0,0,50,64,43,10
USW00013722,"RALEIGH AIRPORT, NC US",4/8/2014,0.01,,0,0,63,67,55,17.22222222
USW00013722,"RALEIGH AIRPORT, NC US",4/9/2014,0.07,,0,0,58,68,45,14.44444444
USW00013722,"RALEIGH AIRPORT, NC US",4/10/2014,0,,0,0,56,74,40,13.33333333
USW00013722,"RALEIGH AIRPORT, NC US",4/11/2014,0,,0,0,65,78,52,18.33333333
USW00013722,"RALEIGH AIRPORT, NC US",4/12/2014,0,,0,0,68,81,54,20
USW00013722,"RALEIGH AIRPORT, NC US",4/13/2014,0,,0,0,70,81,59,21.11111111
USW00013722,"RALEIGH AIRPORT, NC US",4/14/2014,0.03,,0,0,69,76,63,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",4/15/2014,1.32,,0,0,66,71,39,18.88888889
USW00013722,"RALEIGH AIRPORT, NC US",4/16/2014,0,,0,0,43,54,33,6.111111111
USW00013722,"RALEIGH AIRPORT, NC US",4/17/2014,0,,0,0,47,64,31,8.333333333
USW00013722,"RALEIGH AIRPORT, NC US",4/18/2014,0.18,,0,0,50,63,38,10
USW00013722,"RALEIGH AIRPORT, NC US",4/19/2014,0.56,,0,0,50,53,46,10
USW00013722,"RALEIGH AIRPORT, NC US",4/20/2014,0,,0,0,57,68,49,13.88888889
USW00013722,"RALEIGH AIRPORT, NC US",4/21/2014,0,,0,0,57,74,42,13.88888889
USW00013722,"RALEIGH AIRPORT, NC US",4/22/2014,0,,0,0,63,83,47,17.22222222
USW00013722,"RALEIGH AIRPORT, NC US",4/23/2014,0,,0,0,64,71,50,17.77777778
USW00013722,"RALEIGH AIRPORT, NC US",4/24/2014,0,,0,0,58,71,40,14.44444444
USW00013722,"RALEIGH AIRPORT, NC US",4/25/2014,0.47,,0,0,63,80,49,17.22222222
USW00013722,"RALEIGH AIRPORT, NC US",4/26/2014,0,,0,0,65,79,49,18.33333333
USW00013722,"RALEIGH AIRPORT, NC US",4/27/2014,0,,0,0,67,84,51,19.44444444
USW00013722,"RALEIGH AIRPORT, NC US",4/28/2014,0,,0,0,62,67,54,16.66666667
USW00013722,"RALEIGH AIRPORT, NC US",4/29/2014,0.05,,0,0,56,65,52,13.33333333
USW00013722,"RALEIGH AIRPORT, NC US",4/30/2014,1.12,,0,0,69,77,65,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",5/1/2014,0,,0,0,72,79,62,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",5/2/2014,0,,0,0,62,69,51,16.66666667
USW00013722,"RALEIGH AIRPORT, NC US",5/3/2014,0,,0,0,63,76,53,17.22222222
USW00013722,"RALEIGH AIRPORT, NC US",5/4/2014,0,,0,0,66,83,49,18.88888889
USW00013722,"RALEIGH AIRPORT, NC US",5/5/2014,0,,0,0,65,73,55,18.33333333
USW00013722,"RALEIGH AIRPORT, NC US",5/6/2014,0,,0,0,66,84,56,18.88888889
USW00013722,"RALEIGH AIRPORT, NC US",5/7/2014,0,,0,0,68,78,59,20
USW00013722,"RALEIGH AIRPORT, NC US",5/8/2014,0,,0,0,72,89,55,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",5/9/2014,0.07,,0,0,75,89,63,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",5/10/2014,0,,0,0,74,86,64,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",5/11/2014,0,,0,0,72,86,60,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",5/12/2014,0,,0,0,74,90,58,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",5/13/2014,0,,0,0,79,92,67,26.11111111
USW00013722,"RALEIGH AIRPORT, NC US",5/14/2014,0,,0,0,79,89,68,26.11111111
USW00013722,"RALEIGH AIRPORT, NC US",5/15/2014,3.38,,0,0,72,79,67,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",5/16/2014,0.18,,0,0,67,73,55,19.44444444
USW00013722,"RALEIGH AIRPORT, NC US",5/17/2014,0,,0,0,60,71,47,15.55555556
USW00013722,"RALEIGH AIRPORT, NC US",5/18/2014,0,,0,0,61,68,46,16.11111111
USW00013722,"RALEIGH AIRPORT, NC US",5/19/2014,0,,0,0,59,73,45,15
USW00013722,"RALEIGH AIRPORT, NC US",5/20/2014,0,,0,0,64,79,50,17.77777778
USW00013722,"RALEIGH AIRPORT, NC US",5/21/2014,0,,0,0,72,87,60,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",5/22/2014,0,,0,0,76,88,64,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",5/23/2014,0,,0,0,74,82,63,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",5/24/2014,0,,0,0,69,79,53,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",5/25/2014,0,,0,0,69,82,54,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",5/26/2014,0.09,,0,0,73,87,61,22.77777778
USW00013722,"RALEIGH AIRPORT, NC US",5/27/2014,0.22,,0,0,76,90,66,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",5/28/2014,0,,0,0,75,90,64,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",5/29/2014,0.08,,0,0,71,76,65,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",5/30/2014,0,,0,0,69,74,63,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",5/31/2014,0,,0,0,71,82,63,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",6/1/2014,0,,0,0,68,78,53,20
USW00013722,"RALEIGH AIRPORT, NC US",6/2/2014,0,,0,0,68,83,52,20
USW00013722,"RALEIGH AIRPORT, NC US",6/3/2014,0.05,,0,0,71,89,57,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",6/4/2014,0.02,,0,0,75,92,65,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",6/5/2014,0,,0,0,82,91,72,27.77777778
USW00013722,"RALEIGH AIRPORT, NC US",6/6/2014,0,,0,0,76,83,68,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",6/7/2014,0,,0,0,74,85,62,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",6/8/2014,0,,0,0,76,87,65,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",6/9/2014,0.29,,0,0,78,90,69,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",6/10/2014,0,,0,0,79,94,68,26.11111111
USW00013722,"RALEIGH AIRPORT, NC US",6/11/2014,0.58,,0,0,81,94,68,27.22222222
USW00013722,"RALEIGH AIRPORT, NC US",6/12/2014,0.08,,0,0,74,85,69,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",6/13/2014,0.42,,0,0,76,88,67,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",6/14/2014,0,,0,0,75,86,60,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",6/15/2014,0,,0,0,72,87,58,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",6/16/2014,0.08,,0,0,80,95,69,26.66666667
USW00013722,"RALEIGH AIRPORT, NC US",6/17/2014,0,,0,0,81,96,70,27.22222222
USW00013722,"RALEIGH AIRPORT, NC US",6/18/2014,0,,0,0,82,97,70,27.77777778
USW00013722,"RALEIGH AIRPORT, NC US",6/19/2014,0.27,,0,0,82,97,70,27.77777778
USW00013722,"RALEIGH AIRPORT, NC US",6/20/2014,0.64,,0,0,78,91,68,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",6/21/2014,0,,0,0,77,91,68,25
USW00013722,"RALEIGH AIRPORT, NC US",6/22/2014,0,,0,0,76,84,68,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",6/23/2014,0,,0,0,75,85,65,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",6/24/2014,0,,0,0,76,86,65,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",6/25/2014,0,,0,0,80,93,73,26.66666667
USW00013722,"RALEIGH AIRPORT, NC US",6/26/2014,0,,0,0,81,93,69,27.22222222
USW00013722,"RALEIGH AIRPORT, NC US",6/27/2014,0.88,,0,0,77,85,70,25
USW00013722,"RALEIGH AIRPORT, NC US",6/28/2014,0,,0,0,76,85,69,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",6/29/2014,0,,0,0,74,85,60,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",6/30/2014,0,,0,0,77,90,66,25
USW00013722,"RALEIGH AIRPORT, NC US",7/1/2014,0,,0,0,81,93,74,27.22222222
USW00013722,"RALEIGH AIRPORT, NC US",7/2/2014,0,,0,0,85,97,76,29.44444444
USW00013722,"RALEIGH AIRPORT, NC US",7/3/2014,0,,0,0,82,90,74,27.77777778
USW00013722,"RALEIGH AIRPORT, NC US",7/4/2014,0,,0,0,78,88,71,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",7/5/2014,0,,0,0,73,83,61,22.77777778
USW00013722,"RALEIGH AIRPORT, NC US",7/6/2014,0,,0,0,75,90,61,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",7/7/2014,0,,0,0,80,96,67,26.66666667
USW00013722,"RALEIGH AIRPORT, NC US",7/8/2014,0,,0,0,85,98,74,29.44444444
USW00013722,"RALEIGH AIRPORT, NC US",7/9/2014,0.02,,0,0,84,96,74,28.88888889
USW00013722,"RALEIGH AIRPORT, NC US",7/10/2014,0.66,,0,0,78,88,71,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",7/11/2014,0,,0,0,75,86,69,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",7/12/2014,0,,0,0,78,90,66,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",7/13/2014,0,,0,0,82,94,71,27.77777778
USW00013722,"RALEIGH AIRPORT, NC US",7/14/2014,0,,0,0,85,98,75,29.44444444
USW00013722,"RALEIGH AIRPORT, NC US",7/15/2014,4.21,,0,0,82,94,70,27.77777778
USW00013722,"RALEIGH AIRPORT, NC US",7/16/2014,0,,0,0,73,80,64,22.77777778
USW00013722,"RALEIGH AIRPORT, NC US",7/17/2014,0,,0,0,72,84,60,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",7/18/2014,0,,0,0,75,86,64,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",7/19/2014,0,,0,0,74,82,66,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",7/20/2014,0.93,,0,0,73,81,68,22.77777778
USW00013722,"RALEIGH AIRPORT, NC US",7/21/2014,1.16,,0,0,75,79,73,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",7/22/2014,0,,0,0,76,85,72,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",7/23/2014,0,,0,0,80,92,71,26.66666667
USW00013722,"RALEIGH AIRPORT, NC US",7/24/2014,1.45,,0,0,79,88,68,26.11111111
USW00013722,"RALEIGH AIRPORT, NC US",7/25/2014,0,,0,0,73,83,66,22.77777778
USW00013722,"RALEIGH AIRPORT, NC US",7/26/2014,0,,0,0,77,90,69,25
USW00013722,"RALEIGH AIRPORT, NC US",7/27/2014,0.45,,0,0,78,87,72,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",7/28/2014,0,,0,0,81,88,70,27.22222222
USW00013722,"RALEIGH AIRPORT, NC US",7/29/2014,0,,0,0,74,82,63,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",7/30/2014,0,,0,0,71,81,63,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",7/31/2014,0.08,,0,0,74,82,66,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",8/1/2014,0.71,,0,0,71,76,65,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",8/2/2014,0.08,,0,0,66,70,64,18.88888889
USW00013722,"RALEIGH AIRPORT, NC US",8/3/2014,0,,0,0,71,80,67,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",8/4/2014,0,,0,0,74,85,68,23.33333333
USW00013722,"RALEIGH AIRPORT, NC US",8/5/2014,0,,0,0,76,88,68,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",8/6/2014,0,,0,0,79,90,70,26.11111111
USW00013722,"RALEIGH AIRPORT, NC US",8/7/2014,0,,0,0,78,86,69,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",8/8/2014,0,,0,0,75,81,69,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",8/9/2014,1.01,,0,0,69,74,64,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",8/10/2014,0.56,,0,0,71,81,66,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",8/11/2014,0.31,,0,0,75,84,70,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",8/12/2014,2.45,,0,0,76,87,70,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",8/13/2014,0,,0,0,75,82,67,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",8/14/2014,0,,0,0,71,83,58,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",8/15/2014,0,,0,0,73,86,61,22.77777778
USW00013722,"RALEIGH AIRPORT, NC US",8/16/2014,0,,0,0,78,89,68,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",8/17/2014,0,,0,0,78,89,70,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",8/18/2014,0.61,,0,0,78,88,70,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",8/19/2014,0,,0,0,76,86,69,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",8/20/2014,1.06,,0,0,78,90,70,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",8/21/2014,0,,0,0,79,91,71,26.11111111
USW00013722,"RALEIGH AIRPORT, NC US",8/22/2014,0,,0,0,80,92,71,26.66666667
USW00013722,"RALEIGH AIRPORT, NC US",8/23/2014,0.01,,0,0,79,84,72,26.11111111
USW00013722,"RALEIGH AIRPORT, NC US",8/24/2014,0,,0,0,75,81,63,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",8/25/2014,0,,0,0,69,79,60,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",8/26/2014,0,,0,0,71,82,60,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",8/27/2014,0,,0,0,72,86,58,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",8/28/2014,0,,0,0,76,92,65,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",8/29/2014,0.07,,0,0,77,82,72,25
USW00013722,"RALEIGH AIRPORT, NC US",8/30/2014,0,,0,0,78,89,72,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",8/31/2014,0,,0,0,81,91,73,27.22222222
USW00013722,"RALEIGH AIRPORT, NC US",9/1/2014,0,,0,0,82,93,73,27.77777778
USW00013722,"RALEIGH AIRPORT, NC US",9/2/2014,0,,0,0,83,96,71,28.33333333
USW00013722,"RALEIGH AIRPORT, NC US",9/3/2014,0,,0,0,81,93,71,27.22222222
USW00013722,"RALEIGH AIRPORT, NC US",9/4/2014,1.18,,0,0,78,90,71,25.55555556
USW00013722,"RALEIGH AIRPORT, NC US",9/5/2014,0,,0,0,79,91,71,26.11111111
USW00013722,"RALEIGH AIRPORT, NC US",9/6/2014,0,,0,0,80,91,71,26.66666667
USW00013722,"RALEIGH AIRPORT, NC US",9/7/2014,0,,0,0,77,78,70,25
USW00013722,"RALEIGH AIRPORT, NC US",9/8/2014,1.04,,0,0,70,73,68,21.11111111
USW00013722,"RALEIGH AIRPORT, NC US",9/9/2014,0.03,,0,0,70,76,66,21.11111111
USW00013722,"RALEIGH AIRPORT, NC US",9/10/2014,0,,0,0,73,81,68,22.77777778
USW00013722,"RALEIGH AIRPORT, NC US",9/11/2014,0.09,,0,0,76,88,67,24.44444444
USW00013722,"RALEIGH AIRPORT, NC US",9/12/2014,0.01,,0,0,75,80,70,23.88888889
USW00013722,"RALEIGH AIRPORT, NC US",9/13/2014,0.02,,0,0,73,80,69,22.77777778
USW00013722,"RALEIGH AIRPORT, NC US",9/14/2014,0.03,,0,0,67,71,62,19.44444444
USW00013722,"RALEIGH AIRPORT, NC US",9/15/2014,0,,0,0,67,75,63,19.44444444
USW00013722,"RALEIGH AIRPORT, NC US",9/16/2014,0.01,,0,0,73,83,67,22.77777778
USW00013722,"RALEIGH AIRPORT, NC US",9/17/2014,0,,0,0,72,79,66,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",9/18/2014,0.01,,0,0,70,81,59,21.11111111
USW00013722,"RALEIGH AIRPORT, NC US",9/19/2014,0,,0,0,71,80,63,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",9/20/2014,0,,0,0,69,81,58,20.55555556
USW00013722,"RALEIGH AIRPORT, NC US",9/21/2014,0.12,,0,0,72,87,63,22.22222222
USW00013722,"RALEIGH AIRPORT, NC US",9/22/2014,0,,0,0,71,76,61,21.66666667
USW00013722,"RALEIGH AIRPORT, NC US",9/23/2014,0.15,,0,0,61,64,55,16.11111111
USW00013722,"RALEIGH AIRPORT, NC US",9/24/2014,3.18,,0,0,58,64,55,14.44444444
USW00013722,"RALEIGH AIRPORT, NC US",9/25/2014,0.03,,0,0,65,68,63,18.33333333
USW00013722,"RALEIGH AIRPORT, NC US",9/26/2014,0,,0,0,67,76,59,19.44444444
USW00013722,"RALEIGH AIRPORT, NC US",9/27/2014,0,,0,0,65,76,55,18.33333333
USW00013722,"RALEIGH AIRPORT, NC US",9/28/2014,0,,0,0,65,79,54,18.33333333
USW00013722,"RALEIGH AIRPORT, NC US",9/29/2014,0.01,,0,0,66,73,64,18.88888889
USW00013722,"RALEIGH AIRPORT, NC US",9/30/2014,0,,0,0,66,75,59,18.88888889
USW00013722,"RALEIGH AIRPORT, NC US",10/1/2014,0,,0,0,66,79,56,18.88888889
USW00013722,"RALEIGH AIRPORT, NC US",10/2/2014,0,,0,0,69,84,59,20.55555556
