CID,Block,Treatment,Date.hatch,Date.4th,Mass.4th,Date.5th,Mass.5th,Date.pupate,Date.cup,Mass.pupa,Pupate.ok,Date.adult,Mass.adult,Sex,Emerge.ok,Date.dead,Mass.int,DaysHtoP,DaysPtoE
053,1,16,6/30/2023,7/10/2023,9.86,7/13/2023,35.09,7/18/2023,7/20/2023,240.26,yes,8/4,226.51,male,no,,,18,17
054,2,21,7/27/2023,8/1/2023,8.38,8/4,30.21,8/9,8/11,155.51,yes,8/20,75.4,female,yes,,,13,11
055,2,30,7/27/2023,8/1/2023,7.04,8/4,51.78,8/8/2023,8/10/23,,yes,8/15/2023,62.31,male,yes,,,12,7
056,2,34,7/27/2023,8/1/2023,8.73,8/3,31.48,8/7,8/9,145.8,yes,8/15/2023,116.1,male,no,,,11,8
057,2,16,7/27/2023,8/1/2023,7.16,8/4,47.98,8/8/2023,8/10/23,193.7,yes,8/23/2023,103.67,female,yes,,,12,15
058,2,21,7/27/2023,8/2/2023,12.36,8/4,44.01,8/9,8/11,173.38,yes,8/21/2023,73.52,male,yes,,,13,12
059,2,30,7/27/2023,8/2/2023,8.52,8/6,38.82,8/10/23,8/12,137.96,yes,8/17,80.25,female,no,,,14,7
060,2,34,7/27/2023,8/2/2023,9.33,8/7,84.68,8/12,8/14,178.95,yes,8/19/2023,127.05,female,no,,,16,7
062,2,21,7/27/2023,8/3/2023,8.58,8/7,36.1,8/12,8/14,192.73,yes,8/23/2023,106.8,female,yes,,,16,11
063,2,30,7/27/2023,8/4/2023,9.2,8/7,40.46,8/12,8/14,158.06,yes,8/18,77.17,female,yes,,,16,6
064,2,34,7/27/2023,8/4/2023,9.13,8/7,32.97,8/12,8/14,181.73,yes,8/20,133.71,female,no,,,16,8
065,2,16,7/27/2023,8/5/2023,9.84,8/9,70.47,8/14,8/16,146.87,yes,8/28/2023,59.9,male,yes,,,18,14
066,2,21,7/27/2023,8/5/2023,12.47,8/8/2023,68.78,8/12,8/14,196.58,yes,8/23/2023,104.9,male,yes,,,16,11
067,2,30,7/27/2023,8/5/2023,10.87,8/8/2023,29.84,8/14,8/16,116.97,yes,8/20,56.05,male,no,,,18,6
068,2,34,7/27/2023,8/5/2023,7.28,8/9,28.99,8/14,8/16,143.9,yes,8/22/2023,55.05,female,yes,,,18,8
069,2,16,8/3/2023,8/9/2023,10.4,8/12,31.61,8/17,8/19,178.58,yes,9/4/2023,75.61,female,yes,,,14,18
070,2,21,8/3/2023,8/9/2023,8.3,8/14,56.7,8/18,8/20,153.51,yes,8/29/2023,62.3,female,yes,,,15,11
071,2,30,8/3/2023,,,8/12,54.31,8/15/2023,8/17/2023,126.72,yes,8/21/2023,63.25,female,yes,,,12,6
075,2,30,8/5/2023,8/14/2023,20.89,8/17,48.94,8/22/2023,,,no,,,,,8/22/2023,117.6,17,
078,2,21,8/3/2023,8/15/2023,9.6,8/19/2023,30.88,8/25/2023,8/27/2023,168.2,yes,9/5/2023,91.44,female,yes,,,22,11
